05-MAY-20,Mar 2020,$0.84,$0.84,0.00,0.0,ASH
08-MAY-20,Mar 2020,$0.04, - $0.60,-0.64,-1600.0,ATH
06-MAY-20,Mar 2020,$1.94,$1.95,0.01,0.5,ATO
30-APR-20,Mar 2020,$0.88,$0.93,0.05,5.6,ATR
05-MAY-20,Mar 2020,$0.39,$0.58,0.19,48.7,ATVI
06-MAY-20,Mar 2020,$2.40,$2.39,-0.01,-0.4,AVB
04-JUN-20,Apr 2020,$5.13,$5.14,0.01,0.1,AVGO
07-MAY-20,Mar 2020, - $0.11, - $0.05,0.06,54.5,AVLR
27-APR-20,Mar 2020,$0.29,$0.38,0.09,31.0,AVT
29-APR-20,Mar 2020,$0.15,$0.17,0.02,13.3,AVTR
29-APR-20,Mar 2020,$1.50,$1.66,0.16,10.6,AVY
27-APR-20,Mar 2020,$1.14,$1.10,-0.04,-3.5,AWI
06-MAY-20,Mar 2020,$0.65,$0.67,0.02,3.0,AWK
24-APR-20,Mar 2020,$1.69,$1.98,0.29,17.1,AXP
04-MAY-20,Mar 2020, - $1.92, - $1.94,-0.02,-1.0,AXS
05-MAY-20,Mar 2020,$0.31,$0.31,0.00,0.0,AXTA
06-MAY-20,Mar 2020, - $0.08, - $0.10,-0.02,-25.0,AYX
06-MAY-20,Mar 2020,$0.83,$0.74,-0.09,-10.8,AZPN
29-APR-20,Mar 2020, - $2.04, - $1.70,0.34,16.6,BA
15-APR-20,Mar 2020,$0.42,$0.40,-0.02,-4.7,BAC
26-MAY-20,Mar 2020,$0.70,$0.73,0.03,4.2,BAH
30-APR-20,Mar 2020,$0.73,$0.82,0.09,12.3,BAX
21-MAY-20,Apr 2020,$0.41,$0.67,0.26,63.4,BBY
30-APR-20,Mar 2020,$0.87,$0.96,0.09,10.3,BC
22-APR-20,Mar 2020,$0.34,$0.35,0.01,2.9,BDN
07-MAY-20,Mar 2020,$2.28,$2.55,0.27,11.8,BDX
30-APR-20,Mar 2020,$0.44,$0.66,0.22,50.0,BEN
01-MAY-20,Mar 2020,$1.07,$1.19,0.12,11.2,BERY
06-MAY-20,Mar 2020,$0.67,$0.74,0.07,10.4,BFAM
06-MAY-20,Mar 2020,$0.64, - $1.34,-1.98,-309.3,BG
11-MAY-20,Mar 2020,$1.96,$2.60,0.64,32.6,BHF
22-APR-20,Mar 2020,$7.74,$9.14,1.40,18.0,BIIB
07-MAY-20,Mar 2020, - $0.11, - $0.04,0.07,63.6,BILL
06-MAY-20,Mar 2020,$1.40,$1.91,0.51,36.4,BIO
16-APR-20,Mar 2020,$0.90,$1.05,0.15,16.6,BK
05-MAY-20,Mar 2020,$0.45,$0.47,0.02,4.4,BKI
07-MAY-20,Mar 2020,$5.09,$3.77,-1.32,-25.9,BKNG
22-APR-20,Mar 2020,$0.09,$0.11,0.02,22.2,BKR
16-APR-20,Mar 2020,$6.69,$6.60,-0.09,-1.3,BLK
07-MAY-20,Mar 2020,$0.60,$0.61,0.01,1.6,BLL
11-MAY-20,Mar 2020, - $3.94, - $3.64,0.30,7.6,BLUE
29-APR-20,Mar 2020,$0.33,$0.63,0.30,90.9,BMRN
07-MAY-20,Mar 2020,$1.48,$1.72,0.24,16.2,BMY
20-APR-20,Mar 2020,$0.64,$0.87,0.23,35.9,BOH
22-APR-20,Mar 2020,$1.29,$0.88,-0.41,-31.7,BOKF
30-APR-20,Mar 2020,$1.37,$0.37,-1.00,-72.9,BPOP
08-MAY-20,Mar 2020,$1.74,$1.67,-0.07,-4.0,BR
06-MAY-20,Mar 2020,$0.22,$0.14,-0.08,-36.3,BRKR
27-APR-20,Mar 2020,$0.46,$0.51,0.05,10.8,BRO
07-MAY-20,Mar 2020,$0.48,$0.20,-0.28,-58.3,BRX
29-APR-20,Mar 2020,$0.33,$0.28,-0.05,-15.1,BSX
28-MAY-20,Apr 2020, - $1.59, - $4.76,-3.17,-199.3,BURL
06-MAY-20,Mar 2020,$0.49,$0.77,0.28,57.1,BWA
04-MAY-20,Mar 2020,$0.62,$0.79,0.17,27.4,BWXT
28-APR-20,Mar 2020,$1.80,$3.20,1.40,77.7,BXP
05-MAY-20,Mar 2020, - $0.06,$0.03,0.09,150.0,BYND
15-APR-20,Mar 2020,$0.89,$1.06,0.17,19.1,C
11-MAY-20,Mar 2020,$9.40,$11.28,1.88,20.0,CABO
27-MAY-20,Mar 2020,$4.15, - $4.61,-8.76,-211.0,CACC
29-APR-20,Mar 2020,$3.24,$3.16,-0.08,-2.4,CACI
11-MAY-20,Mar 2020,$1.43,$1.62,0.19,13.2,CAH
08-MAY-20,Mar 2020,$0.19,$0.35,0.16,84.2,CARR
08-JUN-20,Apr 2020,$1.97,$1.67,-0.30,-15.2,CASY
28-APR-20,Mar 2020,$1.76,$1.60,-0.16,-9.0,CAT
21-APR-20,Mar 2020,$2.61,$2.68,0.07,2.6,CB
01-MAY-20,Mar 2020,$1.54,$1.65,0.11,7.1,CBOE
07-MAY-20,Mar 2020,$0.70,$0.75,0.05,7.1,CBRE
28-APR-20,Mar 2020,$0.48,$0.42,-0.06,-12.5,CBSH
11-MAY-20,Mar 2020,$0.71,$0.77,0.06,8.4,CBT
05-MAY-20,Mar 2020,$0.51,$0.71,0.20,39.2,CC
29-APR-20,Mar 2020,$1.49,$1.42,-0.07,-4.7,CCI
20-APR-20,Mar 2020,$0.93,$1.13,0.20,21.5,CCK
06-MAY-20,Mar 2020,$0.12,$0.15,0.03,25.0,CDAY
05-MAY-20,Mar 2020,$0.85,$0.92,0.07,8.2,CDK
20-APR-20,Mar 2020,$0.54,$0.60,0.06,11.1,CDNS
06-MAY-20,Mar 2020,$1.38,$1.38,0.00,0.0,CDW
27-APR-20,Mar 2020,$2.19,$2.29,0.10,4.5,CE
28-APR-20,Mar 2020,$0.67,$0.71,0.04,5.9,CERN
06-MAY-20,Mar 2020,$0.23,$0.31,0.08,34.7,CF
17-APR-20,Mar 2020,$0.20,$0.09,-0.11,-55.0,CFG
30-APR-20,Mar 2020,$0.91, - $0.59,-1.50,-164.8,CFR
07-MAY-20,Mar 2020,$0.37,$0.38,0.01,2.7,CFX
30-APR-20,Mar 2020,$0.39,$0.48,0.09,23.0,CG
27-APR-20,Mar 2020,$0.08,$0.12,0.04,50.0,CGNX
30-APR-20,Mar 2020,$0.76,$0.83,0.07,9.2,CHD
28-APR-20,Mar 2020,$3.60,$3.68,0.08,2.2,CHE
04-MAY-20,Mar 2020,$0.17,$0.22,0.05,29.4,CHGG
11-MAY-20,Mar 2020,$0.64,$0.76,0.12,18.7,CHH
03-JUN-20,Mar 2020,$0.37,$0.42,0.05,13.5,CHNG
28-APR-20,Mar 2020,$0.71,$0.57,-0.14,-19.7,CHRW
01-MAY-20,Mar 2020,$2.71,$1.96,-0.75,-27.6,CHTR
30-APR-20,Mar 2020,$4.44,$4.69,0.25,5.6,CI
04-JUN-20,Apr 2020,$0.51,$0.76,0.25,49.0,CIEN
27-APR-20,Mar 2020,$1.10,$0.84,-0.26,-23.6,CINF
01-MAY-20,Mar 2020,$0.73,$0.75,0.02,2.7,CL
30-APR-20,Mar 2020,$0.73,$0.76,0.03,4.1,CLGX
29-APR-20,Mar 2020,$0.10,$0.28,0.18,180.0,CLH
11-MAY-20,Mar 2020, - $0.03, - $0.08,-0.05,-166.6,CLR
01-MAY-20,Mar 2020,$1.72,$1.89,0.17,9.8,CLX
21-APR-20,Mar 2020,$0.77, - $0.46,-1.23,-159.7,CMA
30-APR-20,Mar 2020,$0.69,$0.71,0.02,2.9,CMCSA
29-APR-20,Mar 2020,$2.23,$2.33,0.10,4.4,CME
21-APR-20,Mar 2020,$2.50,$3.08,0.58,23.2,CMG
28-APR-20,Mar 2020,$2.18,$3.18,1.00,45.8,CMI
27-APR-20,Mar 2020,$0.77,$0.86,0.09,11.6,CMS
04-MAY-20,Mar 2020,$0.56,$0.40,-0.16,-28.5,CNA
28-APR-20,Mar 2020,$1.02,$0.86,-0.16,-15.6,CNC
07-MAY-20,Mar 2020,$0.45,$0.50,0.05,11.1,CNP
23-APR-20,Mar 2020,$0.93, - $3.02,-3.95,-424.7,COF
30-APR-20,Mar 2020,$0.13,$0.14,0.01,7.6,COG
27-MAY-20,Mar 2020,$0.54,$0.61,0.07,12.9,COHR
07-MAY-20,Mar 2020,$0.28,$0.11,-0.17,-60.7,COLD
07-MAY-20,Mar 2020,$0.08,$0.12,0.04,50.0,COMM
29-APR-20,Mar 2020,$0.95,$0.97,0.02,2.1,CONE
04-JUN-20,Apr 2020,$2.13,$1.51,-0.62,-29.1,COO
30-APR-20,Mar 2020,$0.21,$0.45,0.24,114.2,COP
30-APR-20,Mar 2020,$1.27,$1.29,0.02,1.5,COR
11-MAY-20,Mar 2020, - $0.01, - $0.08,-0.07,-700.0,COTY
08-JUN-20,Apr 2020,$0.07,$0.20,0.13,185.7,COUP
06-MAY-20,Mar 2020,$1.56,$1.75,0.19,12.1,CPA
03-JUN-20,Apr 2020,$0.76,$0.83,0.07,9.2,CPB
01-JUL-20,Mar 2020,$0.32,$0.11,-0.21,-65.6,CPRI
20-MAY-20,Apr 2020,$0.64,$0.58,-0.06,-9.3,CPRT
07-MAY-20,Mar 2020,$1.31,$1.35,0.04,3.0,CPT
27-APR-20,Mar 2020,$1.23,$1.15,-0.08,-6.5,CR
29-APR-20,Mar 2020, - $0.15, - $0.14,0.01,6.6,CREE
05-MAY-20,Mar 2020,$0.30, - $0.81,-1.11,-370.0,CRI
