Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,179.279999,179.960007,178.740005,179.960007,177.592911,689800
2020-01-03,178.000000,179.399994,178.000000,178.820007,176.467911,879800
2020-01-06,177.720001,179.479996,177.240005,179.440002,177.079742,672700
2020-01-07,179.139999,179.399994,178.699997,179.009995,176.655411,1196900
2020-01-08,179.070007,180.639999,178.970001,179.899994,177.533691,1046200
2020-01-09,180.960007,181.169998,180.500000,181.080002,178.698196,749400
2020-01-10,181.559998,181.559998,180.360001,180.580002,178.204758,1118300
2020-01-13,181.020004,181.929993,180.759995,181.889999,179.497528,1590600
2020-01-14,181.720001,182.339996,181.369995,181.740005,179.349518,839300
2020-01-15,181.610001,182.610001,181.580002,182.070007,179.675156,558400
2020-01-16,182.919998,183.619995,182.850006,183.600006,181.185028,941500
2020-01-17,184.050003,184.550003,183.679993,184.110001,181.688324,620300
2020-01-21,183.580002,184.279999,183.250000,183.740005,181.323196,1032600
2020-01-22,184.339996,184.789993,183.750000,183.830002,181.412003,2575500
2020-01-23,183.520004,184.149994,182.759995,184.059998,181.638977,847600
2020-01-24,184.539993,184.539993,181.630005,182.369995,179.971191,906900
2020-01-27,179.350006,180.410004,178.949997,179.589996,177.227783,1220700
2020-01-28,180.419998,181.910004,180.139999,181.440002,179.053452,699000
2020-01-29,182.220001,182.339996,181.179993,181.289993,178.905396,581100
2020-01-30,180.080002,181.979996,179.639999,181.850006,179.458054,1167700
2020-01-31,181.529999,181.570007,178.089996,178.639999,176.290268,1368900
2020-02-03,179.369995,181.119995,179.369995,180.110001,177.740952,807000
2020-02-04,182.320007,183.460007,182.149994,182.949997,180.543564,1273000
2020-02-05,184.669998,184.850006,183.639999,184.720001,182.290298,507000
2020-02-06,185.419998,185.669998,184.710007,185.259995,182.823196,714200
2020-02-07,184.649994,185.059998,183.990005,184.339996,181.915298,466800
2020-02-10,183.850006,185.720001,183.850006,185.710007,183.267273,501200
2020-02-11,186.479996,187.039993,185.809998,186.080002,183.632416,479700
2020-02-12,187.059998,187.429993,186.770004,187.300003,184.836380,821500
2020-02-13,186.399994,187.759995,186.369995,187.169998,184.708084,660200
2020-02-14,187.449997,187.610001,186.800003,187.500000,185.033737,1233700
